"Component Id",value,time,"Component Name"
5,27,"2013-06-13 12:12:00","bed room temp"
6,27,"2013-06-13 12:12:00","Salon temp"
5,27,"2013-06-13 12:13:00","bed room temp"
6,27,"2013-06-13 12:13:00","Salon temp"
5,28,"2013-06-13 12:14:00","bed room temp"
6,28,"2013-06-13 12:14:00","Salon temp"
5,28,"2013-06-13 12:15:00","bed room temp"
6,28,"2013-06-13 12:15:00","Salon temp"
5,28,"2013-06-13 12:16:00","bed room temp"
6,28,"2013-06-13 12:16:00","Salon temp"
5,29,"2013-06-13 12:17:00","bed room temp"
6,29,"2013-06-13 12:17:00","Salon temp"
5,28,"2013-06-13 12:18:00","bed room temp"
6,29,"2013-06-13 12:18:00","Salon temp"
5,28,"2013-06-13 12:19:00","bed room temp"
6,29,"2013-06-13 12:19:00","Salon temp"
5,28,"2013-06-13 12:20:00","bed room temp"
6,29,"2013-06-13 12:20:00","Salon temp"
5,28,"2013-06-13 12:21:00","bed room temp"
6,29,"2013-06-13 12:21:00","Salon temp"
5,29,"2013-06-13 12:22:00","bed room temp"
6,29,"2013-06-13 12:22:00","Salon temp"
5,29,"2013-06-13 12:23:00","bed room temp"
6,29,"2013-06-13 12:23:00","Salon temp"
6,28,"2013-06-13 12:24:00","Salon temp"
5,28,"2013-06-13 12:24:00","bed room temp"
6,28,"2013-06-13 12:25:00","Salon temp"
5,28,"2013-06-13 12:25:00","bed room temp"
6,27,"2013-06-13 12:26:00","Salon temp"
5,27,"2013-06-13 12:26:00","bed room temp"
6,28,"2013-06-13 12:27:00","Salon temp"
5,27,"2013-06-13 12:27:00","bed room temp"
6,27,"2013-06-13 12:28:00","Salon temp"
5,27,"2013-06-13 12:28:00","bed room temp"
6,28,"2013-06-13 12:29:00","Salon temp"
5,27,"2013-06-13 12:29:00","bed room temp"
6,28,"2013-06-13 12:30:00","Salon temp"
5,27,"2013-06-13 12:30:00","bed room temp"
6,28,"2013-06-13 12:31:00","Salon temp"
5,27,"2013-06-13 12:31:00","bed room temp"
6,28,"2013-06-13 12:32:00","Salon temp"
5,27,"2013-06-13 12:32:00","bed room temp"
6,27,"2013-06-13 12:33:00","Salon temp"
5,27,"2013-06-13 12:33:00","bed room temp"
6,26,"2013-06-13 12:34:00","Salon temp"
5,27,"2013-06-13 12:34:00","bed room temp"
6,26,"2013-06-13 12:35:00","Salon temp"
5,27,"2013-06-13 12:35:00","bed room temp"
